ID,Sales
T1188341,71734.2795
T1188342,38210.355
T1188343,64846.54
T1188344,36368.775
T1188345,37329.9375
T1188346,129998.76
T1188347,73488.5295
T1188348,52040.73
T1188349,65068.769
T1188350,34787.37
T1188351,59996.61
T1188352,70531.11
T1188353,38543.268
T1188354,31220.744
T1188355,40840.828
T1188356,39826.155
T1188357,47863.35
T1188358,19491.93
T1188359,21467.715
T1188360,55634.4415
T1188361,45368.43
T1188362,43110.9625
T1188363,38566.664
T1188364,49684.95
T1188365,39216.9125
T1188366,33584.4
T1188367,59038.680499999995
T1188368,28235.46
T1188369,35523.1725
T1188370,45520.5675
T1188371,37693.8375
T1188372,64868.64
T1188373,26782.702999999998
T1188374,39511.17
T1188375,116653.1
T1188376,72961.9495
T1188377,39622.71
T1188378,38572.8075
T1188379,41216.904
T1188380,90851.05900000001
T1188381,33741.93
T1188382,37809.3375
T1188383,32481.84
T1188384,34669.05
T1188385,62647.03400000001
T1188386,27528.377999999997
T1188387,69742.56199999999
T1188388,59331.5025
T1188389,34043.46
T1188390,85854.24
T1188391,36910.547999999995
T1188392,60718.1725
T1188393,68292.52699999999
T1188394,59435.04
T1188395,38523.318
T1188396,83347.875
T1188397,64048.662500000006
T1188398,31783.92
T1188399,39509.2725
T1188400,49953.09
T1188401,37802.655
T1188402,16458.63
T1188403,66961.40699999999
T1188404,35162.205
T1188405,37554.7875
T1188406,21345.73
T1188407,71808.4995
T1188408,38550.825
T1188409,42888.99
T1188410,26008.84
T1188411,72760.8495
T1188412,27187.2725
T1188413,37623.39
T1188414,38178.75
T1188415,36922.6275
T1188416,45213.44
T1188417,59181.5205
T1188418,41069.775
T1188419,53129.955
T1188420,57284.22
T1188421,26262.42
T1188422,53763.31
T1188423,105382.7655
T1188424,38809.998
T1188425,39415.7925
T1188426,37037.748
T1188427,53541.57
T1188428,36476.0625
T1188429,71821.29950000001
T1188430,58554.295
T1188431,38979.528
T1188432,16279.413714285714
T1188433,51088.929000000004
T1188434,37708.215
T1188435,35945.226
T1188436,69022.7425
T1188437,64256.2425
T1188438,20853.47
T1188439,69992.37
T1188440,39896.5725
T1188441,22469.535
T1188442,43445.595
T1188443,39841.02
T1188444,37841.5655
T1188445,37944.885
T1188446,37168.395
T1188447,111613.944
T1188448,79202.2545
T1188449,41324.5875
T1188450,38253.525
T1188451,63082.874
T1188452,24869.73
T1188453,48999.84
T1188454,27713.802000000003
T1188455,70718.59700000001
T1188456,29586.54
T1188457,46043.93
T1188458,37912.935
T1188459,64446.155
T1188460,20351.67
T1188461,55362.45
T1188462,36692.3325
T1188463,20970.9
T1188464,77505.5625
T1188465,39317.295
T1188466,39710.4
T1188467,29359.11
T1188468,41127.345
T1188469,36410.97
T1188470,22757.88
T1188471,37266.0075
T1188472,43948.16
T1188473,34459.505999999994
T1188474,61399.95
T1188475,15277.63
T1188476,60946.89
T1188477,36620.145
T1188478,36951.87
T1188479,21698.2
T1188480,55331.13
T1188481,64774.999
T1188482,44430.225
T1188483,67394.4705
T1188484,65885.307
T1188485,29710.3575
T1188486,18268.66
T1188487,41376.9025
T1188488,39862.937999999995
T1188489,36736.8375
T1188490,64630.295
T1188491,45666.858
T1188492,23336.02157142857
T1188493,33627.42
T1188494,67111.26299999999
T1188495,19527.34
T1188496,57227.28
T1188497,28278.9
T1188498,29720.080499999996
T1188499,39784.8975
T1188500,73233.1645
T1188501,39235.83
T1188502,35327.0475
T1188503,23506.761000000002
T1188504,27714.292999999998
T1188505,34033.17
T1188506,62808.0575
T1188507,42933.135
T1188508,41214.5175
T1188509,26105.31
T1188510,39250.1325
T1188511,33916.233
T1188512,37396.4655
T1188513,28623.42
T1188514,38311.545
T1188515,58717.4925
T1188516,33825.2025
T1188517,66869.5625
T1188518,40299.315
T1188519,61970.116500000004
T1188520,21527.775
T1188521,66904.11
T1188522,38422.428
T1188523,48320.1825
T1188524,45921.694
T1188525,72864.56
T1188526,47376.21
T1188527,38358.648
T1188528,47147.73
T1188529,68996.36392857143
T1188530,38768.148
T1188531,61355.3115
T1188532,38355.195
T1188533,37487.4075
T1188534,40736.3625
T1188535,72049.7295
T1188536,81480.30778571429
T1188537,120524.245
T1188538,66124.1325
T1188539,52962.27
T1188540,41958.9105
T1188541,36811.71
T1188542,67770.194
T1188543,30340.607999999997
T1188544,44844.78
T1188545,37196.0175
T1188546,27794.16
T1188547,40050.975
T1188548,43408.14
T1188549,50833.62
T1188550,39455.715
T1188551,51164.175
T1188552,23254.14
T1188553,39298.878
T1188554,72977.2795
T1188555,35441.415
T1188556,88470.7305
T1188557,25052.556
T1188558,23987.28
T1188559,38726.415
T1188560,38899.518
T1188561,42001.616500000004
T1188562,22496.58
T1188563,39369.375
T1188564,59316.5625
T1188565,39519.418
T1188566,43860.008
T1188567,60017.3825
T1188568,33598.23
T1188569,38523.318
T1188570,39161.3325
T1188571,26278.14
T1188572,71166.0695
T1188573,27655.463
T1188574,37329.9375
T1188575,39177.708
T1188576,73553.43549999999
T1188577,39700.545
T1188578,22823.735571428573
T1188579,39328.635
T1188580,38205.855
T1188581,41721.3
T1188582,36451.11
T1188583,33543.84
T1188584,22992.99
T1188585,66982.71
T1188586,35314.74
T1188587,63113.89
T1188588,33964.98
T1188589,24781.32
T1188590,40476.797999999995
T1188591,24356.13
T1188592,28563.5
T1188593,27645.975
T1188594,76136.295
T1188595,34849.485
T1188596,44448.232142857145
T1188597,77468.7
T1188598,71166.0695
T1188599,47483.7
T1188600,33741.93
T1188601,41194.605
T1188602,41087.08
T1188603,58511.4
T1188604,38437.008
T1188605,99955.5
T1188606,48084.69
T1188607,87435.875
T1188608,43077.138
T1188609,31046.126
T1188610,111376.595
T1188611,24655.89
T1188612,68518.395
T1188613,62977.9575
T1188614,71767.5045
T1188615,28122.892999999996
T1188616,69292.8745
T1188617,25900.86
T1188618,70864.8645
T1188619,40657.74
T1188620,36870.558
T1188621,38113.907999999996
T1188622,37945.365
T1188623,37077.225
T1188624,16126.825
T1188625,59431.425
T1188626,40890.645
T1188627,37843.125
T1188628,37839.34
T1188629,39950.31
T1188630,37329.9375
T1188631,26210.37
T1188632,66319.743
T1188633,38253.525
T1188634,35108.28
T1188635,42700.727999999996
T1188636,27957.93
T1188637,61995.045
T1188638,27764.002999999997
T1188639,81874.62
T1188640,30314.0825
T1188641,39648.405
T1188642,35713.2375
T1188643,40484.608
T1188644,45405.815
T1188645,33516.84
T1188646,39511.17
T1188647,43275.02778571429
T1188648,37329.9375
T1188649,42539.77
T1188650,36789.363
T1188651,39511.17
T1188652,53641.86
T1188653,55214.7875
T1188654,41045.388
T1188655,29116.38
T1188656,50866.11
T1188657,44599.71
T1188658,40373.608
T1188659,58901.035
T1188660,38817.24
T1188661,79920.135
T1188662,71166.0695
T1188663,38794.545
T1188664,21423.265
T1188665,38878.518
T1188666,59015.7315
T1188667,39745.428
T1188668,78522.302
T1188669,129358.534
T1188670,81802.86
T1188671,49388.1955
T1188672,74150.432
T1188673,71880.3795
T1188674,38544.1425
T1188675,61909.9
T1188676,41199.0375
T1188677,49933.45
T1188678,42646.11
T1188679,69771.81450000001
T1188680,29955.6
T1188681,43122.9
T1188682,62614.60400000001
T1188683,42829.098
T1188684,28127.496
T1188685,67828.44585714285
T1188686,40759.155
T1188687,49677.6
T1188688,36345.39
T1188689,43374.135
T1188690,37801.245
T1188691,59442.465
T1188692,37354.7775
T1188693,64899.736999999994
T1188694,32533.89
T1188695,27190.88
T1188696,52292.88
T1188697,39069.75
T1188698,68789.12199999999
T1188699,54823.71
T1188700,54971.07
T1188701,43260.78599999999
T1188702,51887.43
T1188703,33895.98
T1188704,39969.825
T1188705,71696.1445
T1188706,81557.037
T1188707,34725.36
T1188708,28832.12
T1188709,66124.61
T1188710,77518.27
T1188711,46628.64
T1188712,26569.35
T1188713,87376.795
T1188714,39976.95
T1188715,31520.385
T1188716,20560.515
T1188717,75714.098
T1188718,37166.04
T1188719,38288.37
T1188720,22426.845
T1188721,24914.721
T1188722,53955.975
T1188723,79681.555
T1188724,21696.955
T1188725,44180.13
T1188726,48085.35
T1188727,38338.5
T1188728,71384.21
T1188729,36715.59
T1188730,55002.28
T1188731,66061.26
T1188732,33702.72
T1188733,68080.125
T1188734,81359.28
T1188735,14025.473999999998
T1188736,26844.27
T1188737,36877.126071428575
T1188738,20213.13
T1188739,33620.73
T1188740,37108.14
T1188741,30684.36
T1188742,63227.44
T1188743,36502.17
T1188744,45869.58
T1188745,84317.17
T1188746,50832.09
T1188747,37102.2
T1188748,58203.16
T1188749,28348.47
T1188750,29478.39
T1188751,57851.24
T1188752,28624.41
T1188753,73162.6
T1188754,33687.81
T1188755,55218.0975
T1188756,36403.68
T1188757,30014.1
T1188758,58333.08
T1188759,70546.93
T1188760,57037.24
T1188761,36537.6
T1188762,71799.68
T1188763,39323.955
T1188764,27219.933000000005
T1188765,48877.95
T1188766,37310.34
T1188767,35325.84
T1188768,26812.65
T1188769,22078.78
T1188770,63375.06
T1188771,57572.04
T1188772,33361.02
T1188773,68140.545
T1188774,46527.58
T1188775,38558.1
T1188776,26461.32
T1188777,21338.43
T1188778,19331.849000000002
T1188779,73876.87
T1188780,48592.08
T1188781,32887.11
T1188782,49657.62
T1188783,29457.63
T1188784,29508.224
T1188785,29870.61
T1188786,55987.13
T1188787,45193.82
T1188788,47532.09
T1188789,26810.632
T1188790,37071.87
T1188791,36334.68
T1188792,27078.84
T1188793,63020.2
T1188794,31771.77
T1188795,38777.0575
T1188796,33871.17
T1188797,55929.18
T1188798,47283.075999999994
T1188799,28539.2325
T1188800,65020.17
T1188801,26852.85
T1188802,20855.19
T1188803,34606.485
T1188804,26073.752999999997
T1188805,45411.33
T1188806,41748.0
T1188807,24700.058571428573
T1188808,35329.23
T1188809,70731.405
T1188810,29820.3
T1188811,18922.779
T1188812,32427.81
T1188813,27389.13
T1188814,36980.61
T1188815,25647.17
T1188816,37184.91
T1188817,42841.11
T1188818,34960.593
T1188819,66214.135
T1188820,46968.08
T1188821,33342.48
T1188822,51601.18
T1188823,82296.3375
T1188824,55293.894
T1188825,39800.9625
T1188826,65036.9
T1188827,36871.02
T1188828,34431.48
T1188829,34893.75
T1188830,23209.5
T1188831,52997.92
T1188832,36365.37
T1188833,55181.26
T1188834,19341.27
T1188835,37013.07
T1188836,31958.34
T1188837,42876.355
T1188838,29144.457000000002
T1188839,18721.49
T1188840,29851.328999999998
T1188841,51670.71
T1188842,36144.75
T1188843,33663.69
T1188844,62281.135
T1188845,56408.51
T1188846,32951.22
T1188847,57406.13
T1188848,30245.34
T1188849,28051.65
T1188850,53053.74
T1188851,67501.9
T1188852,38784.525
T1188853,33337.98
T1188854,37528.92
T1188855,32353.8
T1188856,22850.27
T1188857,43793.674499999994
T1188858,40494.4425
T1188859,48533.715
T1188860,74437.31
T1188861,35237.79
T1188862,42843.45
T1188863,21010.71
T1188864,69754.245
T1188865,37253.31
T1188866,35770.65
T1188867,36106.05
T1188868,35224.05
T1188869,38072.1675
T1188870,38057.19
T1188871,49755.09
T1188872,37136.79
T1188873,36904.23
T1188874,35055.42
T1188875,65054.76
T1188876,34956.06
T1188877,36867.78
T1188878,35293.05
T1188879,32859.93
T1188880,68020.11
T1188881,32804.01
T1188882,126275.46
T1188883,68323.313
T1188884,68400.15
T1188885,40259.03
T1188886,22820.58
T1188887,32215.83
T1188888,31834.98
T1188889,32772.48
T1188890,42406.79
T1188891,33097.17
T1188892,51145.1175
T1188893,28947.773999999998
T1188894,69274.47
T1188895,43685.01
T1188896,33986.55
T1188897,38508.09
T1188898,89340.84
T1188899,37118.55
T1188900,46031.07
T1188901,37074.99
T1188902,67760.9975
T1188903,80738.76
T1188904,50191.71
T1188905,27773.105
T1188906,36604.65
T1188907,15607.298999999999
T1188908,33232.02
T1188909,86435.43
T1188910,35954.25
T1188911,42511.395
T1188912,72476.145
T1188913,106634.5875
T1188914,42829.71
T1188915,27749.664
T1188916,55867.5625
T1188917,39497.57
T1188918,30842.24
T1188919,76678.79400000001
T1188920,35853.99
T1188921,53204.82
T1188922,17684.69
T1188923,43408.56
T1188924,37914.72
T1188925,18287.153714285712
T1188926,64389.265
T1188927,58725.095
T1188928,47612.49
T1188929,36552.45
T1188930,55926.504
T1188931,34642.821
T1188932,61196.07
T1188933,32238.57
T1188934,65045.1
T1188935,26921.814
T1188936,47087.0525
T1188937,29861.91
T1188938,28847.43
T1188939,25234.312
T1188940,47619.3
T1188941,66094.5
T1188942,30399.72
T1188943,45010.02
T1188944,48586.95
T1188945,90708.81
T1188946,57097.605
T1188947,19290.767714285714
T1188948,19649.705
T1188949,53362.08
T1188950,21775.626
T1188951,55223.82
T1188952,26227.95
T1188953,37413.99
T1188954,36089.16
T1188955,50779.47
T1188956,53302.62
T1188957,27303.33
T1188958,68869.2525
T1188959,80787.9
T1188960,66934.5
T1188961,43190.7125
T1188962,38970.037142857145
T1188963,79965.27
T1188964,35102.16
T1188965,86484.645
T1188966,26989.96
T1188967,36183.06
T1188968,58923.804000000004
T1188969,48541.77
T1188970,75074.64
T1188971,32149.58
T1188972,29452.255
T1188973,34956.15
T1188974,67281.72
T1188975,84849.23
T1188976,30282.69
T1188977,50102.43
T1188978,16432.6905
T1188979,49194.18
T1188980,73013.17
T1188981,32001.27
T1188982,38005.41
T1188983,49459.14
T1188984,35662.53
T1188985,21221.73
T1188986,49708.59
T1188987,49745.07
T1188988,72683.495
T1188989,38924.79
T1188990,54021.57
T1188991,18679.59
T1188992,36652.2
T1188993,29663.73
T1188994,41495.76
T1188995,21446.1
T1188996,48013.23
T1188997,38112.75
T1188998,64174.93
T1188999,34844.94
T1189000,27023.58
T1189001,41264.34
T1189002,25698.99
T1189003,77323.375
T1189004,78812.965
T1189005,24531.33
T1189006,22222.35
T1189007,34297.35
T1189008,62575.99
T1189009,30663.714
T1189010,29122.44
T1189011,78852.633
T1189012,79627.83
T1189013,30351.51
T1189014,28413.89
T1189015,32851.12
T1189016,65574.495
T1189017,36315.39
T1189018,26608.59
T1189019,36205.92
T1189020,70506.24
T1189021,64508.93
T1189022,28892.76
T1189023,31005.42
T1189024,31145.61
T1189025,23058.1525
T1189026,71406.46
T1189027,37576.32
T1189028,61263.405
T1189029,22604.01
T1189030,26731.05
T1189031,45409.125
T1189032,18266.52
T1189033,32431.14
T1189034,116333.7435
T1189035,23210.79
T1189036,43686.315
T1189037,30712.98
T1189038,36091.17
T1189039,35832.69
T1189040,29466.24
T1189041,53712.912000000004
T1189042,63275.1425
T1189043,41860.755
T1189044,37765.83
T1189045,82970.7642857143
T1189046,33472.11
T1189047,69844.19
T1189048,39748.92
T1189049,50449.83
T1189050,33027.63
T1189051,43588.77
T1189052,50575.168
T1189053,34230.36
T1189054,105204.825
T1189055,68890.59
T1189056,40116.9225
T1189057,38169.81
T1189058,73299.19
T1189059,41551.261
T1189060,27781.6455
T1189061,63664.23
T1189062,36178.83
T1189063,67620.15
T1189064,36638.94
T1189065,73679.07
T1189066,39429.84
T1189067,36173.82
T1189068,30382.38
T1189069,22630.71
T1189070,56937.615
T1189071,20401.32
T1189072,39002.25
T1189073,54844.135
T1189074,16171.53
T1189075,37864.56
T1189076,60961.02
T1189077,24105.855
T1189078,33204.03
T1189079,32341.71
T1189080,38016.99
T1189081,65232.33
T1189082,50785.74
T1189083,56454.765
T1189084,37384.53
T1189085,36060.57
T1189086,35431.35
T1189087,40323.24
T1189088,36421.355
T1189089,34704.33
T1189090,38536.71
T1189091,37115.49
T1189092,35408.22
T1189093,33083.31
T1189094,29881.44
T1189095,73518.27
T1189096,44896.95
T1189097,32799.15
T1189098,23687.27
T1189099,27339.78
T1189100,56150.745
T1189101,26869.83
T1189102,31007.132999999998
T1189103,35227.14
T1189104,68368.65
T1189105,49145.67
T1189106,23450.8875
T1189107,43432.32
T1189108,33411.12
T1189109,49822.05
T1189110,55203.84
T1189111,47315.79
T1189112,24796.26
T1189113,23696.46
T1189114,24783.45
T1189115,38928.27
T1189116,57047.845
T1189117,23794.53
T1189118,30977.22
T1189119,27847.47
T1189120,36084.24
T1189121,23903.91
T1189122,64911.09
T1189123,35377.64
T1189124,38495.49
T1189125,28413.69
T1189126,23097.51
T1189127,51716.55
T1189128,76107.63
T1189129,34561.38
T1189130,34510.77
T1189131,69108.135
T1189132,34259.94
T1189133,26513.97
T1189134,51801.78
T1189135,38988.09
T1189136,41556.936
T1189137,27660.03
T1189138,37319.7
T1189139,23235.48
T1189140,76053.6425
T1189141,49971.99
T1189142,73384.89
T1189143,22447.92
T1189144,33031.72
T1189145,22942.98
T1189146,12507.193000000001
T1189147,36479.01
T1189148,38169.09
T1189149,51436.44
T1189150,32480.34
T1189151,34099.47
T1189152,39071.655
T1189153,60954.54
T1189154,65639.73
T1189155,37123.05
T1189156,59433.745
T1189157,34426.71
T1189158,53085.66
T1189159,34001.7
T1189160,30161.16
T1189161,42695.52
T1189162,31259.28
T1189163,28157.01
T1189164,45417.57
T1189165,49794.21
T1189166,27623.67
T1189167,29103.18
T1189168,34994.07
T1189169,22665.72
T1189170,34088.46
T1189171,35215.14
T1189172,104661.075
T1189173,59441.275
T1189174,25606.05
T1189175,53952.87
T1189176,39348.96
T1189177,33273.33
T1189178,21858.48
T1189179,34202.16
T1189180,32450.28
T1189181,20512.89
T1189182,58650.655
T1189183,35123.67
T1189184,36023.5275
T1189185,29257.62
T1189186,41398.9545
T1189187,42013.14
T1189188,34348.35
T1189189,50397.18
T1189190,54296.0485
T1189191,80188.035
T1189192,59676.24
T1189193,45062.91
T1189194,33039.06
T1189195,56978.73
T1189196,21507.0
T1189197,50661.66
T1189198,48875.91
T1189199,32534.85
T1189200,24071.85
T1189201,44655.69
T1189202,31859.94
T1189203,35495.64
T1189204,54697.59
T1189205,45500.7
T1189206,23074.08
T1189207,35121.78
T1189208,37846.59
T1189209,61195.98
T1189210,45521.49
T1189211,29524.62
T1189212,61531.23
T1189213,28973.645
T1189214,45697.35
T1189215,66968.52
T1189216,42216.81
T1189217,45454.05285714285
T1189218,37715.25
T1189219,29553.48
T1189220,53952.15
T1189221,28926.9985
T1189222,29486.52
T1189223,47355.54
T1189224,43392.8125
T1189225,20618.835
T1189226,59211.355
T1189227,21869.08
T1189228,58909.46
T1189229,14288.232000000002
T1189230,83637.78
T1189231,52737.84
T1189232,23327.13
T1189233,42363.45
T1189234,51533.01
T1189235,15767.0025
T1189236,76717.65
T1189237,36180.57
T1189238,19125.769500000002
T1189239,30762.81
T1189240,48593.62
T1189241,29114.52
T1189242,47655.03
T1189243,17035.234
T1189244,22489.44
T1189245,54870.1325
T1189246,38612.76
T1189247,19697.22
T1189248,38430.6
T1189249,62394.78
T1189250,60030.66
T1189251,21866.86
T1189252,43220.22
T1189253,68826.15
T1189254,59411.385
T1189255,51633.69
T1189256,21902.37
T1189257,23340.9
T1189258,62551.02
T1189259,34324.11
T1189260,34739.238
T1189261,68786.64
T1189262,43663.2
T1189263,50558.56
T1189264,18833.448
T1189265,15204.256000000001
T1189266,85378.8
T1189267,63573.81
T1189268,30320.4
T1189269,23224.59
T1189270,40542.48
T1189271,39372.21
T1189272,29065.08
T1189273,56586.745
T1189274,30037.38
T1189275,60888.775
T1189276,60467.905
T1189277,49596.84
T1189278,33581.16
T1189279,33530.28
T1189280,36172.41
T1189281,11788.347999999998
T1189282,33184.77
T1189283,23743.37
T1189284,55382.985
T1189285,25336.47
T1189286,36416.61
T1189287,27110.73
T1189288,94692.96
T1189289,74975.535
T1189290,30964.59
T1189291,48247.05
T1189292,36232.41
T1189293,41441.49
T1189294,28017.63
T1189295,27442.888
T1189296,51547.38
T1189297,35584.2
T1189298,57335.541
T1189299,25781.79
T1189300,43289.67
T1189301,28172.16
T1189302,34064.07
T1189303,34463.7
T1189304,25214.4
T1189305,19369.44
T1189306,31844.76
T1189307,25620.21
T1189308,26888.61
T1189309,64077.72
T1189310,28638.84
T1189311,53850.84
T1189312,21080.487999999998
T1189313,90026.34
T1189314,63188.04
T1189315,83050.95
T1189316,19971.675
T1189317,46068.03
T1189318,74342.49
T1189319,41662.532999999996
T1189320,34346.4
T1189321,70153.185
T1189322,25518.138
T1189323,22286.79
T1189324,48138.94
T1189325,16728.66
T1189326,34195.05
T1189327,29029.5
T1189328,32144.01
T1189329,44315.73
T1189330,50458.06
T1189331,25962.96
T1189332,31787.851500000004
T1189333,34831.71
T1189334,34729.32
T1189335,49660.62
T1189336,20380.86
T1189337,22747.56
T1189338,25124.85
T1189339,27270.24
T1189340,23370.3
T1189341,42213.51
T1189342,93443.65
T1189343,29308.085
T1189344,33655.62
T1189345,38508.4425
T1189346,32458.92
T1189347,32879.22
T1189348,42579.51
T1189349,78290.213
T1189350,24002.28
T1189351,49695.72
T1189352,36297.06
T1189353,46723.05
T1189354,18567.54
T1189355,55962.435
T1189356,67224.66
T1189357,20649.12
T1189358,44669.52
T1189359,90053.76
T1189360,68287.98
T1189361,53127.3
T1189362,26860.53
T1189363,59408.87
T1189364,22606.3725
T1189365,24576.0
T1189366,35840.436
T1189367,25258.92
T1189368,37927.02
T1189369,33512.49
T1189370,33634.14
T1189371,29100.26
T1189372,47924.43
T1189373,34117.5925
T1189374,30715.08
T1189375,48728.5
T1189376,51588.57
T1189377,34323.66
T1189378,67196.1
T1189379,34647.18
T1189380,50536.92
T1189381,48391.74
T1189382,63571.98
T1189383,42247.32
T1189384,71990.34
T1189385,35997.0825
T1189386,34649.94
T1189387,42769.65
T1189388,62580.888
T1189389,48503.97
T1189390,39146.49
T1189391,21667.568571428572
T1189392,28916.4
T1189393,34277.88
T1189394,50771.88
T1189395,36598.98
T1189396,29012.25
T1189397,54854.985
T1189398,34554.9
T1189399,46857.48
T1189400,83180.085
T1189401,65421.54
T1189402,21855.39
T1189403,21963.12
T1189404,36924.12
T1189405,31441.74
T1189406,23894.28
T1189407,12724.521642857142
T1189408,19590.63
T1189409,32666.76
T1189410,30614.46
T1189411,63853.11
T1189412,64079.05
T1189413,60833.43
T1189414,32635.17
T1189415,28104.84
T1189416,55793.515
T1189417,54413.61
T1189418,29972.37
T1189419,41628.63
T1189420,28718.76
T1189421,30643.44
T1189422,21175.575999999997
T1189423,25806.45
T1189424,25192.305
T1189425,24088.653
T1189426,19992.21
T1189427,48239.856
T1189428,64652.41
T1189429,47542.83
T1189430,35724.0
T1189431,40657.32
T1189432,49493.49
T1189433,57934.395
T1189434,61151.205
T1189435,37775.52
T1189436,42777.54
T1189437,31028.04
T1189438,21109.14
T1189439,86546.07
T1189440,50789.94
T1189441,13639.681
T1189442,32229.06
T1189443,43927.74
T1189444,31044.03
T1189445,22365.42
T1189446,32191.17
T1189447,24214.905
T1189448,58432.245
T1189449,22153.8125
T1189450,32755.92
T1189451,38417.622
T1189452,30815.43
T1189453,79825.08
T1189454,47324.16
T1189455,14527.83
T1189456,26936.01
T1189457,44686.38
T1189458,42218.22
T1189459,69087.63
T1189460,35625.136
T1189461,18012.6525
T1189462,55637.8815
T1189463,48004.67
T1189464,33843.66
T1189465,47427.45
T1189466,34254.15
T1189467,26964.03
T1189468,38814.33
T1189469,51440.49
T1189470,22868.46
T1189471,27493.59
T1189472,14626.56
T1189473,24799.26
T1189474,46731.63
T1189475,46975.98
T1189476,22862.52
T1189477,50372.46
T1189478,20827.13
